titulo,precio,cantidad_visitas,fecha_publicacion,referencia,m2_constr,m2_utiles,dormitorios,banos,titularanuncio,descripcion_larga,amueblado,alarma,num_pisos,num_plantas,puerta_seguridad,acceso_minusvalido,porteria,terraza,zonas_verdes,planta,garaje,trastero,gastos_comunidad,tiene_piscina,exterior,tipo_fachada,tipo_suelo,calefaccion,aire_acondicionado,antiguedad,ascensor,agua_caliente,estado,emisiones_CO2,consumo_energia,armarios,orientacion,url,nombre_oficina,nuda_propiedad,web,fecha_descarga,tipologia,calle,distrito,cod_distrito,barrio,cod_barrio,codigo_Postal
"Piso en venta en AVENIDA MONFORTE DE LEMOS, Pilar, Fuencarral-El Pardo",275.0, 1947,15/02/2023,RP122023110291,83.0, 73 ,3.0,1,"Piso en venta en Avenida Monforte de Lemos , Pilar, Fuencarral-El Pardo, Madrid, Madrid","Redpiso Barrio del Pilar vende amplio piso de 3 dormitorios CON DOS TERRAZAS y un baño, con cocina independiente amueblada y equipada con electrodomésticos. Zona muy tranquila rodeada de comercios, parques, colegios e institutos y comunicación directa con el centro comercial de la vaguada en la misma calle. Muy bien comunicado con varias líneas de autobús y la línea 9 de metro. No pierda esta oportunidad y venga a visitarlo, para más información contacte con nuestra oficina.",,,,,,,,,,,,,,,1,,, Individual,,,1, Central, A reformar,,, 1,,https://www.redpiso.es/inmueble/piso-en-venta-en-avenida-monforte-de-lemos-pilar-fuencarral-el-pardo-madrid-madrid-RP122023110291,BARRIO DEL PILAR,,redpiso,28/10/2024,Piso,AVENIDA MONFORTE DE LEMOS,Fuencarral-El Pardo,8,Pilar,84,28029
"Piso en venta en CALLE PELAYO, Justicia, Centro",275.0, 1247,20/06/2022,RP1332022100892,60.0, 50 ,3.0,1,,"REDPISO JUSTICIA-CHUECA ¡Gran oportunidad! Se vende en exclusiva en calle Pelayo, muy próximo a Fernando VI, inmueble de 60 m2 situado en primera planta, el ascensor se pondrá próximamente, ya que está aprobado y pagado. La vivienda es interior y luminosa. Consta de hall de entrada, salón y salita, tres dormitorios y un baño completo. Techos altos, de más de 3 metros de altura. Dos puertas de entrada al inmueble, por lo que se podrían hacer dos estudios independientes. La distribución del piso permite una reforma perfecta, para adaptarla a las necesidades del cliente. El edificio construido en 1900, situado en una finca clásica del distrito. Su localización es inmejorable, al encontrarse rodeado de todos los servicios básicos necesarios, muy bien comunicado cerca de Gran Vía, con las estaciones de metro de Chueca, Tribunal, Gran Vía y Alonso Martínez y en pleno centro del barrio más cosmopolita del centro de Madrid. Si desea ampliar la información o concertar una visita, llámenos o visítenos en nuestra oficina en C/ HORTALEZA, 59. Llámenos para concertar una visita y reciba toda la información de este magnífico inmueble.",,,,,,,,,,1.0,,,,,,, Gres, Eléctrica,,Más de 50 años,, Individual, A reformar,,,, Este,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-pelayo-justicia-centro-madrid-madrid-RP1332022100892,JUSTICIA-CHUECA,,redpiso,28/10/2024,Piso,CALLE PELAYO,Centro,1,Justicia,14,28004
"Piso en venta en CALLE GAZTAMBIDE, Gaztambide, Chamberí",275.0, 1566,12/08/2022,RP1782022103071,40.0, 36 ,1.0,1,"Apartamento en venta en CALLE GAZTAMBIDE, Chamberí, Madrid, Madrid","Redpiso Chamberí-Gaztambide ofrece amplio apartamento en venta en la calle Gaztambide, en pleno barrio de Chamberí. La vivienda está situada en una segunda planta interior a patio abierto y luminoso. Consta de 55 metros cuadrados construidos distribuidos en 1 dormitorio (antiguamente dos), 1 baño con plato de ducha, cocina, salón y terraza cerrada. El inmueble fue reformado hace no mucho por lo que tuberías y luz están actualizados. Tiene paredes de gotele, ventanas de madera y el suelo es de parquet, cuenta con aire acondicionado y dos amplios armarios empotrados en la habitación y el salón. El servicio de agua y calefacción es centralizado. Se trata de un inmueble ideal para entrar a vivir, por su ubicación próxima a centros universitarios y de trabajo. La zona cuenta con todo tipo de servicios necesarios, comercios, tiendas, colegios, guarderías, oficina de correos, centro de salud, sucursales bancarias, zona universitaria, zonas verdes. Bien comunicado por numerosas líneas de autobuses. Muy próximo al metro de Moncloa y Argüelles. Las principales vías de acceso son M-30 y A-6. ¡Llámanos al 91 825 00 01 y visítalo sin compromiso! Puede ver más inmuebles en www.redpiso.es. Financiación 100% con nuestro departamento financiero Dcredit.",,,,,,,,,,2.0,,,,,,,,,1,,1, Central, Depende del precio,,, 2, Este,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-gaztambide-gaztambide-chamberi-madrid-madrid-RP1782022103071,CHAMBERI-GAZTAMBIDE,,redpiso,28/10/2024,Piso,CALLE GAZTAMBIDE,Chamberí,7,Gaztambide,71,28015
"Piso en venta en CALLE ALCALA, Canillejas, San Blas-Canillejas",275.0, 1673,17/08/2022,RP292022103151,83.0, 67 ,2.0,1,EXCELENTE VIVIENDA REFORMADA EN PLENA CALLE ALCALÁ,"INMOBILIARIA REDPISO CANILLEJAS pone en VENTA excelente vivienda en la CALLE ALCALÁ del año 2011 totalmente reformada. El piso se encuentra en un segundo y se distribuye en 2 dormitorios, salón independiente, cocina equipada con electrodomésticos, un baño completo, un aseo y terraza. El piso se encuentra en perfecto estado tal como se muestra en las imágenes, es exterior, muy luminoso, cuenta con armarios empotrados, aire acondicionado, ascensor y plaza de garaje. Tiene una excelente ubicación ya que dispone de una gran oferta de transporte público, a pocos minutos andando de las estaciones de metro de Torre Arias y Canillejas, además de numerosas líneas de autobús de la EMT en las inmediaciones de la finca. Dispone de gran variedad de comercios y servicios como bancos, colegios, biblioteca, supermercados, amplios parques ajardinados… Si desea visitar la vivienda no dude en llamar.",,,,,,,,,,,1,,,,1,,,,,,1,, Perfecto Estado,,, 2, Sureste,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-alcala-canillejas-san-blas-canillejas-madrid-madrid-RP292022103151,CANILLEJAS,,redpiso,28/10/2024,Piso,CALLE ALCALA, San Blas-Canillejas,20,Canillejas,207,28037
"Piso en venta en CALLE CONCEJAL VICTORINO GRANIZO, El Cañaveral - Los Berrocales, Vicálvaro-Ambroz-Centro-Valdebernardo-Valderribas",275.0, 776,12/02/2024,RP3162024123578,107.0, 81 ,3.0,2,,"Redpiso El Cañaveral VENDE VIVIENDA DE RENTA LIBRE en una de las zonas con más potencial de Madrid.

Vivienda exterior de 107m2 construidos que se distribuyen en amplio y luminoso salón comedor, cocina amueblada y equipada y salida a tendedero, tres dormitorios, dos de ellos individuales con armarios empotrados y uno matrimonial, dos baños, uno con bañera y otro con plato de ducha.

La vivienda cuenta con tendedero cerrado, armarios empotrados de gran tamaño para mayor almacenaje, puerta de seguridad, suelo de tarima, aire acondicionado frío-calor y calefacción central individualizada.
Además, cuenta con una plaza de garaje y un cuarto trastero.
Se encuentra en una urbanización con portero 12hrs, piscinas comunitarias para niños y adultos, pistas de pádel, gimnasio, y amplias zonas ajardinadas.
Excelente ubicación, en el Cañaveral, barrio en plena expansión, con multitud de servicios a su disposición, próximo a la localidad de Coslada y Vicálvaro y a la estación de Renfe de Coslada. Fácil acceso a la M-45 y a la R-3, líneas de autobús: 159 (Alsacia- El Cañaveral), E5 (Manuel Becerra-El Cañaveral) y N6 Búho (Cibeles-El Cañaveral)
Ponemos a tu disposición nuestro departamento financiero. Más inmuebles en nuestra página web oficial www.redpiso.es EL PRECIO NO INCLUYE EL 6% DE ITP NI LOS GASTOS NOTARIALES Y REGISTRALES (SEGÚN EL CASO).",,,,,,,,,,,,,,,1,,,,,,1,, Perfecto Estado,10 ,52 KW ,, Noreste,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-concejal-victorino-granizo-el-canaveral-los-berrocales-vicalvaro-ambroz-centro-valdebernardo-valderribas-madrid-madrid-RP3162024123578,EL CAÑAVERAL,,redpiso,28/10/2024,Piso,CALLE CONCEJAL VICTORINO GRANIZO, Vicálvaro,19,El Cañaveral,194,28032
"Piso en venta en PASEO GINEBRA, Rosas, San Blas-Canillejas",275.0, 781,20/07/2023,RP322023116853,58.0, 45 ,1.0,1,"REDPISO vende precioso piso de 1 dormitorio con muebles a medida, piscina, conserje, trastero y una amplia plaza de garaje.","Redpiso vende maravilloso piso de 1 dormitorio con plaza de GARAJE Y TRASTERO en Paseo de Ginebra, Las Rosas. El inmueble es exterior y muy luminoso. Está ubicado en urbanización privada con 3 ascensores, zonas comunes, conserje, piscina, trastero y una amplia plaza de garaje. La vivienda se distribuye en salón con cocina americana equipada con todos los electrodomésticos, 1 habitación con armario empotrado y varios muebles a medida, baño amplio, aire frío-calor por conducto, calefacción por gas natural, paredes lisas, suelos de tarima, muebles hechos a medida (para así poder aprovechar al máximo el almacenaje del piso) y ventanas de climalit (con las persianas del salón automáticas). Es un piso exterior, con excelentes vistas al parque, en una de las calles más tranquilas de la zona.
Excelente ubicación rodeado de gran variedad de comercios (en la puerta hay un Ahorramas), parques, colegios, carril bici, centro de salud y próximo a estadio Metropolitano. La zona está muy bien comunicada, con el metro de Las Rosas (línea 2) prácticamente en la puerta, y la estación de Metro LAS MUSAS (Línea 7) a 5 minutos, con acceso a la M-30 - M-40, túnel de O'Donnell y a cinco minutos del Aeropuerto y líneas de autobuses 4, 106, 140, 153, 165, E2. 
Infórmese sin compromiso, le ayudamos a conseguir su financiación hasta el 100 % con nuestro departamento financiero Dcredit. 
En Redpiso Las Rosas-Las Musas-Plenilunio, trabajamos con asesores especializados en cada una de nuestras zonas para proporcionarles la mejor opción a lo que buscan. Cuenta con los mejores inmuebles para compra o alquiler en las zonas Las Rosas, Musas y Plenilunio desde mayo del 2010. Además de asesorar a cada cliente de forma individual, nos encargamos de tramitarle todas las gestiones necesarias para hacer más fácil y rápido el proceso inmobiliario. https://www.redpiso.es/oficina/inmobiliaria-las-rosas-las-musas-plenilunio/venta",,,,,,,,,,,1,1,,,1,,,,,,1,, Perfecto Estado,,, 3, Norte,https://www.redpiso.es/inmueble/piso-en-venta-en-paseo-ginebra-rosas-san-blas-canillejas-madrid-madrid-RP322023116853,LAS ROSAS-LAS MUSAS-PLENILUNIO,,redpiso,28/10/2024,Piso,PASEO GINEBRA, San Blas-Canillejas,20,Rosas,205,28037
"Piso en venta en CALLE TRIBALDOS, Canillas, Hortaleza",275.0, 1068,27/10/2023,RP582023120077,77.0, 72 ,3.0,1,Se vende piso con terraza abierta,"REDPISO CANILLAS vende piso en 2ª planta en la zona de Villa Rosa. La vivienda cuenta con 77 m² construidos (72 m² útiles) distribuidos en un hall de entrada desde el que se accede a un amplio salón de 18 m² con salida directa a una terraza de 4 m². Por otro lado, el hall da acceso a un pasillo distribuidor por que entramos en la cocina con un tendedero cubierto; tres dormitorios exteriores, dos de ellos individuales y otro doble casi 12 m² con armarios empotrados y un baño completo con plato de ducha y una ventana que da al exterior facilitando la ventilación. El piso cuenta con suelos de plaqueta, paredes de gotelé, puertas interiores de madera y ventanas de aluminio. La calefacción es central de Gas Natural. Además dispone de aire acondicionado en el salón y un ventilador de techo en el dormitorio principal. La orientación es Este por lo que contará con mucha luz natural. El edificio dispone de ascensor y tiene acceso para personas con movilidad reducida. Zona rodeada de todo tipo de servicios: pequeños comercios, polideportivo Luis Aragonés, farmacias, centros médicos, gimnasios, colegios e institutos, etc. Muy buena comunicación con el metro de Canillas (Línea 4) y las líneas 73, 120 y N3 de autobús. Salidas cercanas a M-30 y M-40. Próximo al Aeropuerto de Barajas, Recinto Ferial Ifema y Parque Juan Carlos I. A tan solo 5 minutos del Centro Comercial Palacio de Hielo. No dude en llamarnos para solicitar más información y realizar una visita.",,,,,,,,,,2.0,,,,,1,,,,,,1,, A reformar,,, 3, Este,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-tribaldos-canillas-hortaleza-madrid-madrid-RP582023120077,CANILLAS,,redpiso,28/10/2024,Piso,CALLE TRIBALDOS,Hortaleza,16,Canillas,163,28043
"Piso en venta en AVENIDA SANTA EUGENIA, Santa Eugenia, Villa de Vallecas-Ensanche y Santa Eugenia",277.0, 653,05/06/2024,RP502024127267,128.0, 93 ,3.0,2,"Redpiso Santa Eugenia pone a tu disposición una vivienda de 3 dormitorios, amplio salón, cocina equipada, 2 baños completos, terraza y garaje.","En Redpiso Santa Eugenia tenemos disponible una maravillosa vivienda  compuesta por 3 amplios dormitorios con armarios empotrados, donde puedes disfrutar tanto del espacio como de la comodidad que estos proporcionan.  Además tiene un luminoso salón, donde podrás disfrutar del tiempo en familia, una cocina totalmente equipada, dos baños completos y plaza de garaje. También cabe mencionar la bonita  terraza  de la que dispone para disfrutar de un espacio de aire libre.
El barrio de Santa Eugenia te brinda la posibilidad  de estar cerca de todo tipo de servicios: desde comercios diarios hasta supermercados, colegios, centro de salud y cafeterías.... Las comunicaciones desde Santa Eugenia son perfectas para ir a cualquier sitio de Madrid ya que cuenta con la estación de Renfe de Santa Eugenia a unos minutos y las líneas de autobuses 145 y 68 con diferentes itinerarios. ¡No esperas más y llámanos para concertar tu cita y visita sin compromiso! 
También es importante mencionar que te ofrecemos financiación de hasta el 100% del valor de compra gracias a nuestro Departamento Financiero Dcredit
 ¡Contáctanos y visítalo, te esperamos en Redpiso Santa Eugenia!",,,,,,,,,,,1,,,,1,,,,,,1,, Perfecto Estado,,, 3, Suroeste,https://www.redpiso.es/inmueble/piso-en-venta-en-avenida-santa-eugenia-santa-eugenia-villa-de-vallecas-ensanche-y-santa-eugenia-madrid-madrid-RP502024127267,VALLECAS SANTA EUGENIA,,redpiso,28/10/2024,Piso,AVENIDA SANTA EUGENIA, Villa de Vallecas,18,Santa Eugenia,182,28031
Piso en venta en Vicálvaro-Ambroz-Centro-Valdebernardo-Valderribas,278.0, 1407,29/06/2023,RP542023115971,88.0, 67 ,2.0,1,"2 DORMITOIROS, 1 BAÑO, PG Y TRASTERO. RENTA LIBRE EN VALDERRIBAS","Piso de RENTA LIBRE de 19 años de construcción en Valderribas, 3ª planta con ascensor. 87,57m² construidos Y 67,22m² útiles según nota simple. Orientación sureste. Ubicado en el Residencial Mediterráneo. Distribuidos en: 2 dormitorios con armarios empotrados, 1 baño, salón amplio e independiente con salida a terraza de 7m², cocina amueblada con tendedero cerrado. Armario empotrado en pasillo. Calefacción a gas natural, aire acondicionado en salón y dormitorio principal. Toldos en dormitorios y salón . Suelos de tarima flotante y paredes lisas. Plaza de garaje y trastero incluido en el precio. Finca en una de las mejores urbanizaciones del barrio con: 2 piscinas, pista polideportiva, gimnasio, 2 pistas de padel, parque infantil y amplias zonas verdes. Excelente ubicación, muy cerca de supermercados, centro de salud, centros educativos, paradas de autobús 100, 71 Y E3, metro L9 y Renfe Cercanías Vicálvaro. Fácil acceso a M-40 y A3. Para visitas llamar a Richard 695 uno cinco 28 08.

En REDPISO VALDERRIBAS trabajamos para ofrecer a nuestros clientes los mejores inmuebles de la zona, con un gran equipo de profesionales especializados, para proporcionarles la mejor opción a cada necesidad, cuidando al máximo los detalles. Asesórate con nuestro departamento financiero DCREDIT para conseguir las mejores condiciones hipotecarias.

*NO INCLUIDOS: Impuestos ITP o IVA, gastos, notaría, registro, gestoría, intermediación (financiera), etc.",,,,,,,,,,3.0,1,,,,1,,,,,,,,,33 ,157 KW , 3, Sureste,https://www.redpiso.es/inmueble/piso-en-venta-en-vicalvaro-ambroz-centro-valdebernardo-valderribas-madrid-madrid-RP542023115971,VALDERRIBAS,,redpiso,28/10/2024,Piso,,Centro,1,Valdebernardo,192,28032
"Piso en venta en CALLE Tutor, Argüelles, Moncloa-Aravaca",279.0, 1652,22/08/2022,RP712022103289,65.0, 50 ,2.0,1,LUMINOSO Y CÉNTRICO PISO A LA VENTA EN CALLE TUTOR,"¿Quieres vivir en una de las mejores zonas de Madrid? Redpiso Moncloa-Argüelles ofrece cuarto piso interior MUY luminoso en la calle Tutor, en pleno barrio de Argüelles. La vivienda consta de 65 metros cuadrados construidos distribuidos en 2 dormitorios, 1 baño, recibidor, salón y cocina. Los servicios de agua y calefacción son de tipo gas natural. El inmueble cuenta con infinitas posibilidades para actualizarlo. 
Se trata de una finca residencial que cuenta con ascensor y acceso para minusválidos. 
Si buscas un inmueble ideal para tu familia, para empezar a vivir con tu pareja o incluso para invertir, dada su alta rentabilidad, no lo dudes y ¡ven a visitarlo! La zona cuenta con todo tipo de servicios necesarios, comercios, tiendas, colegios, guarderías, oficina de correos, centro de salud, sucursales bancarias, zona universitaria, zonas verdes (a 800 metros del Parque del Oeste y a 950 metros de la Rosaleda). A tan solo 150 metros andando del metro Argüelles y bien comunicado por varias líneas de autobuses. Las principales vías de acceso son M-30 y A-6. ¡Llámanos al 91 230 49 49 y visítalo! Financiación 100% con nuestro departamento financiero Dcredit. ¡Contacte con nosotros sin compromiso!",,,,,,,,,,,,,,,,,, Gas Natural,,,1, Gas natural, A reformar,,, 1, Suroeste,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-tutor-arguelles-moncloa-aravaca-madrid-madrid-RP712022103289,MONCLOA,,redpiso,28/10/2024,Piso,CALLE Tutor,Moncloa-Aravaca,9,Argüelles,92,28008
"Piso en venta en CALLE BRAOJOS, Fuentelarreina, Fuencarral-El Pardo",279.0, 725,16/10/2023,RP722023119638,77.0,,3.0,1,,RedPiso Consulting Inmobiliario ISLA de AROSA S. L. comercializa en EXCLUSIVA piso en FUENTELAREINA.,,,,,,,,,1,,,,,,1,,,,,,, Individual, A reformar,63 ,300 KW ,, Suroeste,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-braojos-fuentelarreina-fuencarral-el-pardo-madrid-madrid-RP722023119638,HERRERA ORIA-LACOMA,,redpiso,28/10/2024,Piso,CALLE BRAOJOS,Fuencarral-El Pardo,8,El Pardo,81,28048
"Piso en venta en CALLE BERNARDINO DE PANTORBA, Ensanche de Vallecas, Villa de Vallecas-Ensanche y Santa Eugenia",279.9, 1404,01/02/2024,RP2062024123109,84.0,,3.0,2,VIVIENDA 3 DORMITORIOS CALLE BERNARDINO DE PANTORBA,"Redpiso Ensanche de Vallecas - La Gavia VENDE:
Vivienda de 3 dormitorios amplios con armarios empotrados,
salón independiente muy luminoso,
cocina amplia con tendedero cubierto,
2 baños completos con plato de ducha, uno de ellos en suite,
armario empotrado en el hall,
Split de aire acondicionado en el salón,
suelos de tarima, ventanas de climalit oscilobatientes.
Incluye plaza de garaje y trastero.
Urbanización cerrada.
Metro más cercano Las Suertes (L-1)",,,,,,,,,,,1,1,,,1,,,,1,,1,, Perfecto Estado,,, 4,,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-bernardino-de-pantorba-ensanche-de-vallecas-villa-de-vallecas-ensanche-y-santa-eugenia-madrid-madrid-RP2062024123109,ENSANCHE DE VALLECAS-LA GAVIA,,redpiso,28/10/2024,Piso,CALLE BERNARDINO DE PANTORBA, Villa de Vallecas,18,Ensanche de Vallecas,183,28031
"Piso en venta en CALLE PUERTOLLANO, Canillejas, San Blas-Canillejas",279.9, 1017,07/02/2023,RP292023109887,92.0, 84 ,3.0,1,EXCELENTE VIVIENDA EN CALLE PUERTOLLANO,"INMOBILIARIA REDPISO CANILLEJAS pone en VENTA excelente vivienda, 1ª planta con ascensor, dispone de 84m² útiles distribuidos en 3 dormitorios, salón, cocina equipada con electrodomésticos y baño. La vivienda es exterior, luminosa, suelo de tarima, puerta de seguridad y calefacción central. Situada a pocos metros del parque de la Quinta de los Molinos y del Parque Torre Arias, Club deportivo Suanzes en el cual hay posibilidad de hacerse socio con un descuento especial al residir dentro del perímetro específico de la zona y disfrutar de todos sus servicios, piscinas, pistas de tenis, pádel, futbol, etc , junto al área de negocios de Julián Camarillo y de la Clínica Universidad de Navarra, las líneas de metro Suances y Torre Arias situadas a escasos 3 minutos (línea 5), el intercambiador de autobuses (líneas 48, 28, 140, N5, etc. ) y arterias viales tales como M-40 y A-2. Dispone de gran variedad de comercios y servicios como bancos, colegios, biblioteca, supermercados, etc. ¡No pierda la oportunidad de visitar la vivienda y llámenos!",,,,,,,,,,1.0,,,,,1,, Tarima normal, Central,,,1, Colectiva,,,,, Sur,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-puertollano-canillejas-san-blas-canillejas-madrid-madrid-RP292023109887,CANILLEJAS,,redpiso,28/10/2024,Piso,CALLE PUERTOLLANO, San Blas-Canillejas,20,Canillejas,207,28037
"Piso en venta en CALLE VILLAMANIN, Lucero, Latina",279.9, 578,06/10/2023,RP342023119360,96.0, 89 ,3.0,1,"Piso en venta en CALLE VILLAMANIN, Lucero, Latina, Madrid, Madrid","Redpiso Lucero ofrece piso en VENTA en la zona de BATÁN. Se trata de una sexta planta con dos ascensores en las torres de Batán con espectaculares vistas a la Casa de Campo y gran luminosidad . El inmueble se encuentra para reformar. El piso consta de tres habitaciones, salón, cocina con tendedero, baño y DOS TERRAZAS. Ventanas de aluminio y suelo de parquet. El edificio dispone de portero físico. Está rodeado de zonas verdes y perfectamente comunicado con la estación de metro línea 10 (a dos minutos de la parada de Batán). A escasos minutos de diversas líneas de autobús hacia el centro y principales accesos viales como son la A-5 y M-30. ¡¡Llámanos y visítalo sin compromiso!!",,,,,,,,,1,6.0,,,,,1,,,,,,1, Gas natural, A reformar,,, 3, Norte,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-villamanin-lucero-latina-madrid-madrid-RP342023119360,LUCERO,,redpiso,28/10/2024,Piso,CALLE VILLAMANIN,Latina,10,Lucero,103,28047
"Piso en venta en CALLE VILLAMANIN, Lucero, Latina",279.9, 1002,21/12/2023,RP342023121914,96.0, 89 ,3.0,1,"Piso en venta en CALLE VILLAMANIN, Lucero, Latina, Madrid, Madrid","Redpiso Lucero ofrece piso en VENTA en la zona de BATÁN. Se trata de una sexta planta con dos ascensores en las torres de Batán con espectaculares vistas a la Casa de Campo y gran luminosidad . El inmueble se encuentra para reformar. El piso consta de tres habitaciones, salón, cocina con tendedero, baño y DOS TERRAZAS. Ventanas de aluminio y suelo de parquet. El edificio dispone de portero físico. Está rodeado de zonas verdes y perfectamente comunicado con la estación de metro línea 10 (a dos minutos de la parada de Batán). A escasos minutos de diversas líneas de autobús hacia el centro y principales accesos viales como son la A-5 y M-30. ¡¡Llámanos y visítalo sin compromiso!!",,,,,,,,,1,6.0,,,,,1,,,,,,1,, A reformar,,, 3, Norte,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-villamanin-lucero-latina-madrid-madrid-RP342023121914,LUCERO,,redpiso,28/10/2024,Piso,CALLE VILLAMANIN,Latina,10,Lucero,103,28047
"Piso en venta en CALLE Altamirano, Argüelles, Moncloa-Aravaca",279.9, 1890,17/03/2023,RP712023111730,67.0, 62 ,3.0,1,VIVIENDA EN VENTA EN CALLE ALTAMIRANO,"REDPISO MONCLOA Pone en exclusiva vivienda en una 5 planta, con ascensor, 3 habitaciones, 1 baño, salón y cocina. Es un inmueble que cuenta con una magnifica ubicación, a tan solo 1 minuto andando de la calle Princesa y del metro de Argüelles. Bien comunicado con el centro de la ciudad, y el intercambiador de Moncloa. La zona cuenta con muchas posibilidades de ocio, diversidad de parques y de zona de restauración. ¡No lo dude más! ¡Contacte con nosotros sin compromiso! ¡Llámanos al 91 230 49 49 y visítalo! Financiación 100% con nuestro departamento financiero Dcredit.",,,,,,,,,,,,,,,, Ladrillo, Tarima normal,,,,1, Central, Perfecto Estado,,,,,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-altamirano-arguelles-moncloa-aravaca-madrid-madrid-RP712023111730,MONCLOA,,redpiso,28/10/2024,Piso,CALLE Altamirano,Moncloa-Aravaca,9,Argüelles,92,28008
"Piso en venta en Madrid, Madrid",280.0, 1156,09/09/2024,RP1242024130048,50.0, 46 ,2.0,1,Piso de oportunidad en Rufino Blanco,"ESTE INMUEBLE SE ENCUENTRA RESERVADO Redpiso Fuente del Berro le ofrece: Estupendo piso, de 50 metros cuadrados a un paso de la plaza Manuel Becerra. Piso de 2 dormitorios, cocina independiente, 1 baños, salón. Es una 2ª planta, con 2 balcones a la calle. Calefacción eléctrica, ventanas de climalit y pisos de Gres. Se encuentra ubicado en una zona que cuenta con todos los servicios necesarios, amplia variedad de colegios, zonas verdes (Parque de Fuente del Berro), ocio, restauración y todo tipo de comercio especializado. Muy bien comunicado por metro y autobús, fácil y rápida incorporación a la M-30.",,,,,,,,,,2.0,,,,,1,,,,,,, Individual, Perfecto Estado,,, 2, Noreste,https://www.redpiso.es/inmueble/piso-en-venta-en-madrid-madrid-RP1242024130048,FUENTE DEL BERRO,,redpiso,28/10/2024,Piso,,Salamanca,4,Fuente del Berro,43,28028
"Piso en venta en Almenara, Tetuán",280.0, 596,07/06/2024,RP1402024127345,81.0, 75 ,2.0,1,Piso a 200 mts de Paseo de la Castellana,"Redpiso ofrece a la venta piso en Almenara, para entrar a vivir. Hablamos de una segunda planta sin ascensor.  El piso consta de 81 m2 construidos distribuidos en: recibidor, 2 dormitorios, cocina  independiente con tendedero cerrado, baño con plato de ducha y amplio salón. Orientación este y oeste. Los suelos son de  gres y la calefacción es de gas natural.
El edificio posee un patio comunitario.
Ubicado  a tan solo 200 mts de Paseo de la Castellana. Muy próximo al Intercambiador de Plaza de Castilla, de las 4 Torres,  torre Caleido y  el Hospital de la Paz.
Zona con todo tipo de comercios, bares, tiendas, supermercados y colegios.",,,,,,,,,,2.0,,,,,1,,, Gas Natural,,,, Gas natural, Depende del precio,,,, Este,https://www.redpiso.es/inmueble/piso-en-venta-en-almenara-tetuan-madrid-madrid-RP1402024127345,PLAZA CASTILLA-CHAMARTIN,,redpiso,28/10/2024,Piso,,Chamartín,5,Castilla,56,28046
"Piso en venta en AVENIDA ENSANCHE DE VALLECAS, Ensanche de Vallecas, Villa de Vallecas-Ensanche y Santa Eugenia",280.0, 457,02/02/2024,RP2062024123190,81.0,,2.0,2,AVENIDA ENSANCHE DE VALLECAS,"REDPISO ENSANCHE DE VALLECAS - LA GAVIA VENDE: Vivienda de 2 dormitorios amplios con armarios empotrados, salón independiente de 20 metros muy luminoso, cocina con tendedero cubierto, armario de 4 puertas de roble en el pasillo, 2 baños completos, uno de ellos en suite con bañera y otro con plato de ducha. Paredes lisas, suelos de tarima, ventas de climalit con domótica. Calefacción gas natural caldera comunitaria y aire acondicionado frío /calor por conducto. Incluye en el precio plaza de garaje y trastero. Urbanización cerrada con conserje 24 horas, piscina, zonas verdes y zona infantil. Metro más cercano Valdecarros (L-1)",,,,,,,,,,,1,1,,1,1,,,,,,1,, Perfecto Estado,,, 2,,https://www.redpiso.es/inmueble/piso-en-venta-en-avenida-ensanche-de-vallecas-ensanche-de-vallecas-villa-de-vallecas-ensanche-y-santa-eugenia-madrid-madrid-RP2062024123190,ENSANCHE DE VALLECAS-LA GAVIA,,redpiso,28/10/2024,Piso,AVENIDA ENSANCHE DE VALLECAS, Villa de Vallecas,18,Ensanche de Vallecas,183,28031
